zona,area_quartos,enderecos_lista,aluguel
centro,35 m² construídos,"Praça Olavo Bilac, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
centro,600 m² construídos,"Santo Cristo, Rio De Janeiro Centro, Rio De Janeiro",35.000
centro,527 m² construídos,"Rua  Lavradio, Centro, Rio De Janeiro Centro, Rio De Janeiro",19.500
centro,36 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.250
centro,217 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
centro,100 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.900
centro,468 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.750
centro,597 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
centro,270 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
centro,340 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
centro,483 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",19.356
centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,385 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",30.000
centro,603 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",60.300
centro,727 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",50.000
centro,576 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.845
centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",91.236
centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,562 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",35.000
centro,600 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
centro,540 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",15.000
centro,369 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",7.000
centro,780 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",39.000
centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.760
centro,480 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
centro,"1,040 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",60.000
